"player","orapm","drapm","rapm","poss"
"Jared McCain",0.194798057145714,0.354343056601025,0.549141113746739,2393
"Anthony Lamb",0.194422941698728,0.352051314445755,0.546474256144483,5009
"Zach LaVine",1.27325903651232,-0.730217154252021,0.543041882260297,25874
"Dru Smith",-1.37188353657868,1.90671247062199,0.534828934043312,2286
"Patrick Baldwin Jr.",-0.074990374987169,0.602214835603985,0.527224460616816,3523
"Marvin Bagley III",0.246105388060086,0.263678260988559,0.509783649048645,9669
"Andre Iguodala",0.300683576044174,0.209062866299174,0.509746442343348,495
"P.J. Washington",0.132733164868565,0.375809301324223,0.508542466192787,27131
"Edmond Sumner",0.377368429628863,0.122985471894449,0.500353901523312,3076
"Pelle Larsson",-0.0877760095901322,0.553213133136009,0.465437123545877,3153
"Jarred Vanderbilt",1.17930528513827,-0.721991476817255,0.45731380832102,12718
"Jaylen Clark",0.556929367654019,-0.113200965043587,0.443728402610433,2165
"Jerome Robinson",-0.0304189267947267,0.468775764612166,0.438356837817439,337
"Rodney McGruder",0.30350541287535,0.122110392595059,0.425615805470408,2171
"Dennis Schroder",0.659712858796647,-0.234779750455477,0.42493310834117,27141
"Leaky Black",-0.0118782657318023,0.435258081183982,0.423379815452179,1158
"Matisse Thybulle",-1.15606770516376,1.57637479396549,0.420307088801729,12408
"Gabe Vincent",-0.714758643496664,1.12991710188329,0.415158458386624,14291
"Grayson Allen",1.77834817573326,-1.36367295639053,0.414675219342735,25135
"Gabe York",0.327259216916175,0.0847625199745976,0.412021736890773,233
"Kris Murray",-1.66821439714077,2.07056593644786,0.402351539307086,9855
"Brandon Ingram",0.658347687152193,-0.262073441621486,0.396274245530706,17286
"Saddiq Bey",2.74096197809972,-2.35054413261156,0.390417845488159,17608
"Ja'Kobe Walter",0.530942004616652,-0.142195424358209,0.388746580258443,4569
"Xavier Cooks",0.299711503417142,0.0863929217068665,0.386104425124008,560
"Isaiah Crawford",-0.00230578613433206,0.387094394486896,0.384788608352564,185
"Jules Bernard",0.189532505740808,0.18999561797491,0.379528123715718,636
"Kel'el Ware",0.446381962781309,-0.0672537223680433,0.379128240413266,5793
"T.J. McConnell",0.933658546180673,-0.554934230630655,0.378724315550019,17973
"Cole Anthony",0.229626637769354,0.147324447426269,0.376951085195622,18642
"Amari Bailey",0.237300051413126,0.136657624889437,0.373957676302563,261
"Wendell Carter Jr.",-0.791261883945693,1.1608590065471,0.369597122601402,19687
"Jaylin Williams",0.27120006392233,0.0841068206220802,0.355306884544411,10817
"Kai Jones",-0.0997877938279621,0.433459309840514,0.333671516012552,4197
"CJ McCollum",1.94282270939181,-1.6093594307405,0.333463278651305,27510
"Phillip Wheeler",0.0207123074769195,0.292359157873336,0.313071465350255,176
"Carlik Jones",0.131713337177583,0.181303597569354,0.313016934746938,233
"Willy Hernangomez",-0.157535729483128,0.467502402613548,0.30996667313042,1956
