"player","oapm","dapm","apm","poss"
"Carlik Jones",17.9566564325106,-9.77872874077805,8.17792769173259,233
"Jason Preston",19.7858145994871,-11.6325637564467,8.15325084304041,813
"Luka Samanic",11.2535879399154,-3.40358994993728,7.84999798997812,2402
"Anthony Davis",12.6141977430206,-4.80576773648671,7.80843000653387,26402
"Chet Holmgren",15.5501967938125,-7.74685652741523,7.80334026639729,14069
"Ryan Rollins",14.7837626481251,-7.02795636266462,7.75580628546043,4015
"Dorian Finney-Smith",14.7992155737926,-7.04606599854719,7.7531495752454,23222
"Luke Kornet",17.8700855539914,-10.2384125704514,7.63167298353997,12606
"Isaiah Hartenstein",14.8599100934438,-7.25069853840779,7.60921155503605,21075
"Guerschon Yabusele",14.9786363262131,-7.3817572537731,7.59687907243998,7589
"Jusuf Nurkic",14.1981322274137,-6.61751912501243,7.58061310240125,18751
"Sidy Cissoko",-0.219381671233351,7.58738991385157,7.36800824261822,1074
"Jerome Robinson",10.4316610495935,-3.08674452725075,7.34491652234272,337
"Jules Bernard",15.9956271596367,-8.66204727476407,7.33357988487264,636
"Kevin Durant",15.6267593178166,-8.34964404438103,7.2771152734356,27793
"Tyler Kolek",10.2129997070395,-3.01915259529492,7.1938471117446,1250
"Kaiser Gates",-4.32540829389993,11.4895090872587,7.16410079335877,32
"Dean Wade",12.6273227471434,-5.48194556141479,7.14537718572866,13364
"Chris Boucher",16.5677197106267,-9.49074515186087,7.07697455876586,12570
"Tyler Dorsey",-10.897690456544,17.9721409327433,7.07445047619931,31
"Anthony Gill",13.9107269919112,-6.90644064185744,7.00428635005376,6187
"AJ Green",12.5630554555093,-5.57127783661961,6.99177761888967,10820
"Al Horford",15.3847475170073,-8.40985715094558,6.97489036606172,21731
"Terry Taylor",13.7128918733715,-6.76605690114927,6.94683497222226,1904
"Jock Landale",16.5797820182672,-9.66039511094744,6.9193869073198,9376
"Lauri Markkanen",15.41435265812,-8.63165206431899,6.78270059380097,23421
"Brandin Podziemski",13.6063572226682,-6.86665487143803,6.73970235123018,15191
"Andrew Funk",2.89659087052502,3.81071649423337,6.70730736475839,55
"Anthony Edwards",16.0490074227729,-9.49094387965383,6.55806354311904,34929
"Toumani Camara",12.2686222571048,-5.71101552995286,6.55760672715192,17626
