"player","oefg_rapm","defg_rapm","otov_rapm","dtov_rapm","oorb_rapm","dorb_rapm","oftr_rapm","dftr_rapm","poss"
"Saddiq Bey",0.614391045591531,-1.12716520330019,-0.465820716160046,0.298841640420126,1.1271309431227,-0.223902135617858,1.81594679085213,0.225160169876026,17608
"Miles McBride",0.605560283676741,1.0122341815009,-1.37170754140116,-0.556919861484573,0.538106148922582,-0.716038007555971,-1.22391699455056,-0.538031332286981,14826
"Bismack Biyombo",0.605321828362806,-0.603755921296817,0.461757065747888,0.744595173923382,-0.120957506555935,0.141432315765554,-2.9137545804205,1.48993376109357,9023
"Kelly Olynyk",0.602113029554816,-0.539438881024731,0.801941454147071,-0.0406058121919364,-0.313000615218786,-0.439106486696902,-0.252039429611024,0.0563754706584857,19204
"Aaron Gordon",0.594140387709539,0.396950571261683,0.5626733985375,0.0789866827387087,0.267223533598965,0.460754822334997,1.41330799907661,1.30421446668666,23916
"Jrue Holiday",0.584523056127247,0.286984625711401,-0.593900623595547,-0.113725279856135,-0.501459277568977,-0.338810354262985,-1.13482785917018,1.84934263502801,26318
"Coby White",0.573410327849669,-0.39201419481627,-0.665457423138546,0.699423297751702,-0.24974696774728,-0.3626295276999,0.594871456929051,-0.0220862542449043,29434
"Malik Beasley",0.572004691997006,0.467696695932922,-0.39584880068808,-0.26104033399987,-0.391401042084562,-0.520559952982649,-0.397404453264302,-0.703751869586663,28353
"Mason Plumlee",0.569147409974319,-1.2078133249247,0.0687946649206848,0.0928967551623221,0.520256808510906,0.272780558920106,0.887644729862912,2.56930387396289,16807
"Harrison Barnes",0.56194164336513,-1.83118275950454,-0.807515161198734,0.530816111577378,-0.514769952805903,0.41521899972349,1.8601995267431,2.09918654254015,30425
"Duncan Robinson",0.560069194953695,0.0586900775699057,-0.0541982585182645,0.544165836416802,-0.781321753144869,0.359108217725846,-1.70120189477227,-1.09442238400224,17663
"OG Anunoby",0.558655135569258,0.446304854721852,0.0119989871546907,-0.857357355339584,0.0673589641056473,0.141598475933659,-0.46523013208256,1.30482746709927,27600
"AJ Green",0.558584441491212,1.30717551496488,-0.452483033181495,-0.279948376186586,-1.25598724622878,0.0212853454943068,-1.32775928404918,-0.342119791746009,10820
"Brandin Podziemski",0.541618350944507,1.01448040597044,-1.05413065637382,-0.800711015608678,1.35270156950377,0.139969314866572,0.122626515842811,0.941245284751731,15191
"Terance Mann",0.538921127891332,-0.856230897501638,-0.1133133325377,0.934831727347487,0.707778458035832,-0.130099972283056,-0.592597227126197,-1.22821444146858,21043
"Keon Ellis",0.531937993562622,0.414348645709554,-0.460195977547521,-0.468526876239849,0.468719887259625,-0.14299138769192,-0.162832057221654,0.947730665397723,12186
"De'Aaron Fox",0.521209431789812,-0.253744343339727,-1.24790047404129,0.0217282052898423,-0.0651440450415891,-0.0218960497362612,0.743614672115261,0.395907361538543,31030
"Rui Hachimura",0.508466692679327,0.202878228980302,-0.0976954409361196,0.162497262973445,-1.01346246245778,0.563418877064844,-0.53080214520745,1.86944202302305,21571
"Nate Williams",0.500375732606606,-0.0725929481210286,-0.0818253735851304,0.20787045438913,-0.0447243914683907,-0.184194974742311,-1.42607152115418,-0.908642513764591,1756
"Paul George",0.499547882773698,0.422423369403265,-0.163690552178121,-0.803312309847,-1.42309449878303,0.444108641296846,-0.262090317024604,0.934384000391724,23527
"Anthony Edwards",0.499047053837977,0.700490608847617,-0.289010368792214,0.217608856301049,-0.685033513426455,-0.224653885773086,1.78830276604258,-1.36777482695863,34929
"Monte Morris",0.492904824149699,0.0335930967425426,-0.805276428437917,0.536261260715218,-0.508026606775404,-0.466803518279309,0.438583431874628,0.917825181563445,11277
"Jevon Carter",0.488151670797385,1.04642301466431,-0.505405152504145,-0.38301824720336,0.223593236486,-0.21195970495543,-1.30315308813261,-0.51429956481278,13104
"Julian Champagnie",0.487069566179157,-0.400079221032901,-0.212637063399868,0.194000046448307,-0.69899280672631,0.343723839765742,-1.32946681594629,0.627559155756249,15766
"Alex Reese",0.479644047610234,-0.00229577666909144,-0.33046312783269,-0.213256329226941,-0.0337953337685137,0.156807558796953,-0.330721176147401,0.936862852551312,920
"Goga Bitadze",0.472352310166476,0.438023533601917,0.692342956418061,-0.658583839202647,1.32008428519205,-0.0682597842166451,-0.135650939613409,0.235306003353539,11364
"Corey Kispert",0.46184049450286,-1.01257231373799,0.15581065305573,1.16682580897869,-0.456817093704292,-0.0657586596271018,-0.250086320757013,-0.43315775943501,24225
"Cameron Johnson",0.455546931492597,-0.380188061298363,-0.122587466104124,-0.0514567580334833,0.0862820074779175,0.249615843434691,1.01376840908592,0.626710949635255,18643
"Gary Trent Jr.",0.442876176664143,-1.38457497874406,-1.25450850811408,0.0832210755280319,-0.324836670722508,-0.7451794394189,0.480783908112846,0.129167743449091,24808
"Amen Thompson",0.440885548254844,0.89215894081956,-0.590846451333839,-0.733604342225053,1.06091686542525,-0.238039608157204,0.0187613789225475,0.404192837209802,15053
"Daniel Theis",0.440741548779289,-0.204209764063232,-1.12924849040177,-0.42662958814664,-0.0373088523225743,-0.253085769701627,-0.965783830513746,0.298134846008656,7249
"Cam Whitmore",0.436120129549657,-0.20136083145144,0.362269201952041,-0.177758630256633,1.04076799503846,-0.420295335422828,0.144513660844742,-1.03908834594963,7178
"Fred VanVleet",0.432525564921361,0.991653055868689,-1.41944469003193,-1.27138651047568,-0.0519891134604114,-0.387203252423298,1.75677211095749,-0.954940100088876,29911
"Sasha Vezenkov",0.431702103484637,0.0961017470010147,0.368750778963743,0.152084701049023,-0.502167721762846,-0.375304474563744,-1.566004291636,-0.933479020913085,2142
"Nickeil Alexander-Walker",0.42916218278657,1.09414578560797,-0.318197038884624,-0.644619590314128,-0.163674722130489,-0.701382892542291,-0.276057718056771,-1.41215165919958,20111
"Grayson Allen",0.417755814951613,-0.902680523549791,-0.080154142987014,0.664296339184051,-0.392943397280575,0.373938179930493,0.967814733809837,0.731180453326076,25135
"Evan Mobley",0.410791801595239,0.646082551181069,0.0708086473622633,-0.119514967348853,-0.612944130067523,-0.16414898181932,-0.32027980665828,0.86639842604876,26374
"Kel'el Ware",0.409461616816932,-0.843671658412686,0.915169877136782,0.375653455648892,-0.344976930800387,-0.227555502677974,-0.682248151807414,2.83610069734499,5793
"Collin Gillespie",0.407597888046078,-0.555360868198638,-0.0955345297999105,0.000152213843640628,0.345106700733973,0.319649607255465,-1.26910008405877,0.670937748307613,2787
"Cory Joseph",0.400103150821273,0.339726278085078,-0.418540685592671,0.14017227521643,0.114751065695484,-0.350232438377527,-0.274337188401848,-1.86719136488292,8713
"Oscar Tshiebwe",0.393668491505544,-0.151131521008334,-0.394679438058445,0.0706687788183265,1.22819579758844,0.69851463994836,0.999754502185345,0.321032669519686,1230
"Lindy Waters III",0.390735115260309,0.164414282142193,-0.368437541587171,-0.370317432496701,0.0787162762774525,-0.0338035912780132,-2.01824618445551,-0.311711448641322,6551
"James Harden",0.384260159690391,0.0768976876338102,-0.191839566432332,0.0843070274859017,0.268148637415378,-0.402941947295499,3.48147284741092,-0.709980640909859,29841
"Mouhamed Gueye",0.367410996881455,0.503496248497883,0.0057305707304948,-0.485948704666045,0.124402818392747,1.12468963866253,-1.21574254224399,2.03233437779087,2609
"Karlo Matković",0.365365706457625,0.381636817652898,1.21173980003002,0.0849620986213639,-0.139962399512752,-0.268749569099091,-1.76233892863888,-0.494723471713933,3315
"Cam Spencer",0.360241129368319,-0.0725460815284316,-0.188706360660613,0.290431270598225,0.276299083235259,-0.407112017172007,0.0204693934064281,-0.31723586521142,1063
"Trae Young",0.35746645336783,-0.406848040254795,-0.797747381683699,-0.328308765258458,-0.188846015983506,-0.475341032480915,2.71987674433102,-1.25751245019117,31221
"Julius Randle",0.354099750490638,-0.498299276932385,0.201686794422171,0.732490704773465,0.437378710488569,-0.0885431521956811,2.20179739465844,0.834660651723539,26776
"Dean Wade",0.351376548804547,0.839852714936326,-0.503356675865632,-0.303166846220251,0.03565967218898,0.400544720781383,0.133239737930683,1.51026880402781,13364
"Isaiah Joe",0.348112558295746,1.3275019521158,-0.626578521502797,-0.477009145270805,-0.176781522034782,-0.67362201375566,1.59285424211025,-1.92645063846404,18659
"Dyson Daniels",0.344542092511187,0.0636442877655331,0.425731429363417,-1.08171624333135,0.637415112759813,0.287351556116922,0.251993731175856,1.11272568568569,21005
"Sandro Mamukelashvili",0.339149689530672,-0.142787924731349,0.0695870002027016,0.041955115708648,0.8918786266893,-0.0081865720867374,0.100963359412676,1.27537462295782,7506
"Cam Thomas",0.337282448598581,-0.89075846932992,-0.681193047413306,0.625873900378984,-0.596030559337553,-0.144611854705907,0.170361415024359,-0.446415066190886,15546
"Branden Carlson",0.333114489489633,-0.0621248696604735,-0.224907597527912,0.698181697816572,-0.232622111358594,-0.176139183332843,-1.18557141834179,0.279533088118451,1028
"Jarred Vanderbilt",0.332681372411635,0.00507031052077388,0.672620800175684,-0.185742600452619,0.786882393665129,-0.0216151289262343,0.699155433832443,-0.973871843534024,12718
"Mikal Bridges",0.3264875999039,-0.201288621717897,-0.574158742517503,0.240079314638534,-0.103443292713498,-0.119882479438985,-0.140606704324132,1.41933559663345,36079
"RJ Barrett",0.324711421426239,-0.332147878779484,-0.186377031364859,0.466877763188432,-0.00966494959612499,-0.352140491460641,0.478701040186354,-0.386066600970695,25794
"N'Faly Dante",0.318026905173392,-0.0120541670342222,0.00348738048190023,0.226539637332584,-0.151527097550506,-0.0834833314210241,-0.341105476587753,-0.707906650795724,221
